"","Datein","FR(m3/dia)","BODin (ppm)","CODin (ppm)","SSin(ppm)","pHin","NAmin(ppm)","NNin (ppm)","Pin (ppm)","Colin(ppm)","Tin(°C)","Condin L1","RF(mm)","Pulp(ton/dia)","Pap (ton/dia)","...16","Dateout","BODout(ppm)","CODout (ppm)","SSout(ppm)","Colout(ppm)","Tout(°C)","Condout","FRout(m3/dia)","FRmod(m3/dia)"
"357",1997-08-23,6106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1026.9,NA,35665,NA,NA,NA,966,NA,2370,6106,47398.2857142857
"358",1997-08-24,49804,264,446,NA,7.35,NA,NA,NA,435,NA,1075,2,-48,1034.5,NA,35666,20,259,NA,1138,NA,2570,49907.67,47444.2857142857
"359",1997-08-25,77490,321,542,NA,7.12,NA,NA,NA,555,35,1301,NA,-37,1038.9,NA,35667,28,280,NA,843,29,2100,77490,50423.0714285714
"360",1997-08-26,76964,351,624,NA,7.22,1.4,NA,1.363,602,44.5,1717,NA,136.193,1052.3,NA,35668,53,245,NA,642,31,1718,76964,55301.5
"361",1997-08-27,80423,311,553,NA,7.21,0.62,NA,NA,590,43.5,1154,NA,205.359,971.1,NA,35669,91,326,NA,619,33.5,1656,80423,60157.6428571429
"362",1997-08-28,79694,295,520,26,6.75,1.55,NA,NA,552,42.5,1188,NA,876.683,1009.6,NA,35670,122,335,40,622,34.5,1583,79694,63800.9285714286
"363",1997-08-29,78942,289,667,NA,6.73,NA,NA,1.006,771,45,1479,NA,937.075,1086.1,NA,35671,81,345,NA,483,35,1182,78942,68236.2857142857
"364",1997-08-30,77464,357,638,NA,6.85,NA,NA,NA,701,NA,1358,NA,936.518,1083.2,NA,35672,138,367,NA,632,NA,1465,77464,73139.6428571429
"365",1997-08-31,76481,332,651,NA,6.95,NA,NA,NA,689,NA,1410,NA,618.645,1112.5,NA,35673,152,389,NA,652,NA,1524,76481,74951.6428571429
"366",1997-09-01,76694,274,614,NA,6.89,NA,1.095,NA,620,46,1440,NA,914.499,1108.6,NA,35674,151,391,NA,614,36.5,1502,76694,74835.7857142857
"367",1997-09-02,76349,334,579,NA,11.24,NA,1.31,NA,556,45,1916,NA,990.351,1059.7,NA,35675,129,380,NA,577,37,1516,76349,74786.4285714286
"368",1997-09-03,72460,235,402,NA,7.15,NA,NA,NA,378,45,1095,NA,964.388,1038,NA,35676,150,352,NA,553,36,1593,72460,74554
"369",1997-09-04,57835,171,322,114,8.87,NA,NA,NA,275,37.5,771,NA,962.232,1027.4,NA,35677,93,277,69,457,35,1479,57835,74312.5714285714
"370",1997-09-05,68602,191,504,NA,6.92,NA,1.026,NA,481,42,1070,0.1,823.076,842.8,NA,35678,32,219,NA,333,34,1225,68607.1835,74010.7857142857
"371",1997-09-06,74753,258,630,NA,6.48,NA,NA,NA,715,NA,1353,NA,525.913,955.2,NA,35679,42,239,NA,351,NA,1124,74753,73667.5
"372",1997-09-07,75172,314,603,NA,6.78,NA,NA,NA,642,NA,1526,NA,238.265,984.3,NA,35680,92,308,NA,447,NA,1236,75172,73340.1428571429
"373",1997-09-08,75868,297,567,NA,6.62,NA,NA,1.292,595,45,1185,NA,788.67,1010.6,NA,35681,121,330,NA,490,35,1338,75868,73169.3571428571
"374",1997-09-09,76273,335,515,NA,7.59,1.25,NA,1.069,480,46,1202,NA,955.707,1014.3,NA,35682,115,335,NA,506,35,1331,76273,73044.1428571429
"375",1997-09-10,77169,281,548,NA,7.11,1.05,NA,NA,518,46.5,1283,NA,972.961,989.8,NA,35683,103,322,NA,479,36,1299,77169,73283.5
"376",1997-09-11,76314,324,590,160,11.88,0.2,NA,NA,677,46.5,2340,NA,950.238,1019.2,NA,35684,108,327,86,500,36,1316,76314,74590.8571428571
"377",1997-09-12,74717,234,615,NA,8.85,NA,NA,1,731,46.5,1477,NA,895.563,996.8,NA,35685,80,337,NA,489,36,1467,74717,74984.5714285714
"378",1997-09-13,72658,252,518,NA,7.25,NA,NA,NA,545,NA,1175,1.4,923.742,1012.9,NA,35686,105,321,NA,587,NA,1450,72730.569,75023.3571428571
"379",1997-09-14,71898,344,725,NA,7.11,NA,NA,NA,530,NA,1428,20.5,830.097,808.3,NA,35687,103,311,NA,547,NA,1317,72960.6175,73187.8571428571
"380",1997-09-15,74303,302,591,NA,6.84,NA,0.59,NA,643,47,1598,4.1,825.157,925.3,NA,35688,111,329,NA,670,36,1397,74515.5235,72874.2857142857
"381",1997-09-16,74596,298,582,NA,7.45,NA,0.624,NA,650,47,1625,NA,825.979,1024.5,NA,35689,128,371,NA,542,36,1489,74596,72474.6428571429
"382",1997-09-17,75811,326,560,NA,7.69,NA,NA,NA,589,47,1521,NA,891.138,1037.8,NA,35690,135,360,NA,524,36,1587,75811,72160.2142857143
"383",1997-09-18,76138,331,588,285,9.91,NA,NA,NA,628,47,1495,NA,1024.482,1061.9,NA,35691,118,349,76,526,35.5,1551,76138,72078.4285714286
"384",1997-09-19,74114,174,595,NA,7.55,NA,1.43,NA,413,46.5,1033,0.1,962.319,1088.6,NA,35692,90,365,NA,481,36,1305,74119.1835,72157.5714285714
"385",1997-09-20,75296,263,534,NA,7.22,NA,NA,NA,454,NA,1416,15.6,970.721,1147.4,NA,35693,109,347,NA,448,NA,1448,76104.626,72550
"386",1997-09-21,49475,335,601,NA,7.16,NA,NA,NA,495,NA,1630,NA,958.915,1026.3,NA,35694,115,310,NA,447,NA,1465,49475,73045.5714285714
"387",1997-09-22,71478,314,513,NA,7.07,NA,NA,0.9584,463,47,1480,NA,913.677,1093.8,NA,35695,96,306,NA,420,34,1530,71478,73282.0714285714
"388",1997-09-23,70678,258,507,NA,7.12,0.15,NA,NA,486,47,1383,NA,965.396,1080.7,NA,35696,113,296,NA,400,35,1509,70678,73607.5714285714
"389",1997-09-24,72767,265,498,NA,7.3,0.2,NA,1.13,436,46,1371,NA,954.496,1000.4,NA,35697,99,299,NA,378,36,1469,72767,73957.5
"390",1997-09-25,75169,257,504,152,7.41,0.14,NA,NA,479,47,1390,0.2,948.848,1013.2,NA,35698,106,281,79,382,36,1464,75179.367,73970.7142857143
"391",1997-09-26,75825,285,544,NA,9.64,NA,NA,0.866,568,47,1476,NA,933.591,1006.2,NA,35699,98,277,NA,375,35,1357,75825,73875.8571428571
"392",1997-09-27,78152,344,522,NA,7.46,NA,NA,NA,494,NA,1322,NA,937.464,995.1,NA,35700,96,290,NA,381,NA,1417,78152,73854.8571428571
"393",1997-09-28,78836,283,552,NA,7.69,NA,NA,NA,535,NA,1378,NA,935.243,1002.1,NA,35701,115,311,NA,432,NA,1435,78836,75604.2142857143
"394",1997-09-29,77614,261,546,NA,7.17,NA,0.751,NA,509,44,1442,2.8,949.205,1043.7,NA,35702,102,356,NA,470,37,1488,77759.138,75685.8571428571
"395",1997-09-30,79153,295,520,NA,6.89,NA,0.521,NA,502,44,1257,NA,998.625,1074.2,NA,35703,112,340,NA,492,37,1468,79153,76045.5
"396",1997-10-01,80710,281,549,NA,10.74,NA,NA,NA,464,45,2450,1.4,809.11,814.7,NA,35704,118,345,NA,479,38,1617,80782.569,76153.3571428571
"397",1997-10-02,76323,203,514,89,8.13,NA,NA,NA,528,44,807,NA,784.776,979,NA,35705,150,332,55,501,36.5,1050,76323,76520.1428571429
"398",1997-10-03,72786,244,444,NA,7.31,NA,1.13,NA,490,45.5,1239,NA,770.97,1029.9,NA,35706,94,283,NA,481,34,1396,72786,76773
"399",1997-10-04,75002,264,444,NA,6.9,NA,NA,NA,540,NA,1241,NA,762.878,972.9,NA,35707,119,267,NA,444,NA,1428,75002,76763.1428571429
"400",1997-10-05,73966,274,495,NA,7.56,NA,NA,NA,488,NA,1378,NA,916.139,1016.1,NA,35708,115,313,NA,485,NA,1363,73966,76871.8571428571
"401",1997-10-06,72621,270,476,NA,7.27,NA,NA,0.745,413,45,1293,5.5,799.782,992.3,NA,35709,101,292,NA,476,35,1344,72906.0925,76941.2857142857
"402",1997-10-07,75713,300,507,NA,8.49,0.35,NA,0.5679,413,44,1435,NA,862.688,1064.5,NA,35710,109,289,NA,442,34.5,1362,75713,76881.5
"403",1997-10-08,74277,213,405,NA,8.1,0.21,NA,NA,417,44.5,1220,NA,652.299,872.7,NA,35711,92,281,NA,445,33.5,1325,74277,77098.4285714286
"404",1997-10-09,80304,246,528,42,8.35,0.37,NA,NA,398,44.5,1280,NA,866.276,1006.7,NA,35712,41,258,47,416,34,1303,80304,77514.1428571429
"405",1997-10-10,79365,219,447,NA,8.41,NA,NA,0.9062,439,47.5,1281,NA,730.426,1015.6,NA,35713,77,258,NA,395,34,1375,79365,78116
"406",1997-10-11,78014,232,471,NA,8.37,NA,NA,NA,555,NA,1414,NA,848.608,1029.2,NA,35714,86,242,NA,432,NA,1296,78014,78347
"407",1997-10-12,80358,238,518,NA,7.39,NA,NA,NA,465,NA,1169,NA,827.445,1025.4,NA,35715,91,276,NA,469,NA,1373,80358,78532.1428571429
"408",1997-10-13,78586,222,494,NA,6.91,NA,1.017,NA,395,44,1193,NA,854.116,1083.9,NA,35716,89,276,NA,455,36,1358,78586,78947.3571428571
"409",1997-10-14,78316,349,588,NA,10.96,NA,0.6084,NA,508,44,1980,NA,847.797,934.6,NA,35717,109,279,NA,434,36,1308,78316,78862.2142857143
"410",1997-10-15,83747,262,529,NA,6.46,NA,NA,NA,469,45,1160,2.3,945.826,1032.9,NA,35718,121,309,NA,474,36.5,1439,83866.2205,78888.5714285714
"411",1997-10-16,82143,300,572,102,10.3,NA,NA,NA,463,45,1544,8.3,950.336,1185.1,NA,35719,134,302,61,466,36.5,1368,82573.2305,78402.2857142857
"412",1997-10-17,81212,214,466,NA,8.26,NA,2.6645,NA,446,45,1478,NA,848.555,1128.4,NA,35720,92,326,NA,423,35,1274,81212,78096
"413",1997-10-18,78236,250,543,NA,7.45,NA,NA,NA,507,NA,1450,NA,933.342,1115.9,NA,35721,101,305,NA,441,NA,1475,78236,78012.7857142857
"414",1997-10-19,76558,245,479,NA,8.3,NA,NA,NA,396,NA,1277,1.8,874.417,1090.7,NA,35722,114,313,NA,476,NA,1474,76651.303,77913.6428571429
"415",1997-10-20,78434,211,475,NA,8.01,NA,NA,0.86,476,44,1356,15.7,802.115,1092.5,NA,35723,98,313,NA,441,36,1323,79247.8095,77769.6428571429
"416",1997-10-21,74521,223,495,NA,7.44,0.39,NA,1.03,416,44,1390,2.1,857.68,1094.5,NA,35724,85,285,NA,382,36,1499,74629.8535,77883.3571428571
"417",1997-10-22,74646,220,490,NA,7.85,0.12,NA,NA,448,42,1264,NA,830.838,1029.5,NA,35725,89,278,NA,374,35,1439,74646,77597.2857142857
"418",1997-10-23,73496,212,520,86,6.89,0.37,NA,NA,403,43,1011,NA,780.518,1045.6,NA,35726,79,284,73,406,34,1225,73496,77619.8571428571
"419",1997-10-24,75077,227,513,NA,7.42,NA,NA,0.55,431,43,1347,NA,787.455,1013.2,NA,35727,89,264,NA,427,35,1199,75077,77819.5714285714
"420",1997-10-25,76849,250,593,NA,6.82,NA,NA,NA,481,NA,1330,3.6,934.827,1014.3,NA,35728,98,284,NA,430,NA,1540,77035.606,78027.2857142857
"421",1997-10-26,78970,272,619,NA,7.59,NA,NA,NA,446,NA,1429,9.5,938.297,1034.5,NA,35729,101,330,NA,435,NA,1312,79462.4325,78243.9285714286
"422",1997-10-27,76570,274,572,NA,9.31,NA,1.13,NA,399,43,1447,0.1,905.049,1055.1,NA,35730,108,338,NA,467,35,1451,76575.1835,78187.9285714286
"423",1997-10-28,79908,259,628,NA,9.11,NA,1.02,NA,492,43,1610,NA,904.306,995.9,NA,35731,96,326,NA,443,36,1461,79908,78462.7857142857
"424",1997-10-29,79742,260,608,NA,7.95,NA,NA,NA,504,43,1722,NA,1040.667,1072.3,NA,35732,115,356,NA,411,36,1567,79742,79058.8571428571
"425",1997-10-30,82459,251,575,173,7.37,NA,NA,NA,431,43,1534,NA,952.411,1106.8,NA,35733,115,314,85,437,37,1652,82459,79659.4285714286
"426",1997-10-31,84008,243,483,NA,7.31,NA,0.54,NA,356,43,1534,1.9,976.48,939.3,NA,35734,114,308,NA,389,36.5,1666,84106.4865,79932.5714285714
"427",1997-11-01,81144,240,532,NA,7.24,NA,NA,NA,425,NA,1228,NA,932.331,1066.7,NA,35735,104,307,NA,364,NA,1539,81144,79487
"428",1997-11-02,79591,262,594,NA,6.9,NA,NA,NA,438,NA,1370,NA,826.65,1073.8,NA,35736,113,316,NA,393,NA,1425,79591,78964.9285714286
"429",1997-11-03,77650,255,539,NA,7.89,NA,NA,0.2819,407,NA,1400,NA,834.003,1118.8,NA,35737,100,298,NA,435,36,1432,77650,78855.2142857143
"430",1997-11-04,78369,228,534,NA,9.97,0.17,NA,0.9062,453,NA,1322,10.7,774.733,905.7,NA,35738,110,320,NA,453,37.5,1499,78923.6345,78880.1428571429
"431",1997-11-05,82991,213,578,125,10.21,1.6,NA,NA,524,NA,1690,NA,879.385,1004.1,NA,35739,112,309,78,520,38,1566,82991,78826.6428571429
"432",1997-11-06,81904,228,552,NA,7.46,0.82,NA,NA,449,41.5,1568,0.8,981.615,1073.6,NA,35740,101,313,NA,480,37.5,1609,81945.468,77759.8571428571
"433",1997-11-07,78901,193,511,NA,7,NA,NA,0.914,429,NA,1250,6.1,959.954,1025.9,NA,35741,103,300,NA,427,38,1062,79217.1935,77371.2142857143
"434",1997-11-08,70611,210,535,NA,8.48,NA,NA,NA,540,NA,1466,NA,909.667,1056.2,NA,35742,104,322,NA,422,NA,1489,70611,77239.7857142857
"435",1997-11-09,71661,222,525,NA,7.51,NA,NA,NA,424,NA,1337,NA,889.974,1053.2,NA,35743,113,330,NA,460,NA,1509,71661,77467
"436",1997-11-10,75034,229,524,NA,7.61,NA,1.0109,NA,404,47,1513,NA,901.573,1017.3,NA,35744,108,307,NA,445,38,1456,75034,77788.8571428571
"437",1997-11-11,80257,238,521,NA,8.2,NA,1.9313,NA,422,47,1409,NA,856.084,963.8,NA,35745,94,309,NA,419,38,1483,80257,78066.3571428571
"438",1997-11-12,78993,240,565,NA,8.8,NA,NA,NA,528,47,1430,NA,791.185,941.3,NA,35746,110,308,NA,404,39,1454,78993,77975.2857142857
"439",1997-11-13,67524,268,561,150,7.09,NA,NA,NA,508,48,1613,2.7,952.479,1018.5,NA,35747,107,289,75,380,38,1414,67663.9545,77782.5
"440",1997-11-14,78567,194,471,NA,7.42,NA,0.6458,NA,391,48.5,1406,0.2,937.989,1060.4,NA,35748,82,251,NA,387,37.5,1410,78577.367,77887.7142857143
"441",1997-11-15,79304,174,405,NA,7.08,NA,NA,NA,408,NA,1250,NA,563.979,1061.1,NA,35749,71,250,NA,398,NA,1528,79304,78426.1428571429
"442",1997-11-16,82772,255,586,NA,7.09,NA,NA,NA,485,NA,1420,12.8,918.441,1110.9,NA,35750,79,241,NA,380,NA,1532,83435.488,78659
"443",1997-11-17,82156,294,601,NA,8.76,NA,NA,0.61,483,47.5,1567,16.4,984.475,1022.7,NA,35751,92,301,NA,375,37,1351,83006.094,78936.3571428571
"444",1997-11-18,82254,252,512,NA,7.26,1.1,NA,0.8,450,46,1517,21.8,978.295,1046.7,NA,35752,111,304,NA,384,37,1417,83384.003,78811.5714285714
"445",1997-11-19,81716,245,493,NA,9.89,0.084,NA,NA,450,46,1673,1.2,983.76,1139.6,NA,35753,122,317,NA,446,37,1497,81778.202,78865.2142857143
"446",1997-11-20,79205,203,556,95,7.11,0.43,NA,NA,535,47,1337,NA,878.034,1135.3,NA,35754,98,335,63,484,36,1531,79205,79672.6428571429
"447",1997-11-21,80374,232,526,NA,7.53,NA,NA,0.7,350,46,1477,13.3,910.893,1098.4,NA,35755,NA,NA,NA,441,37,1574,81063.4055,79784.5
"448",1997-11-22,78149,217,475,NA,6.97,NA,NA,NA,392,NA,1246,9.4,926.852,1010.9,NA,35756,NA,NA,NA,375,NA,1267,78636.249,79710.6428571429
"449",1997-11-23,74921,234,480,NA,7.02,NA,NA,NA,340,NA,1227,NA,901.437,1014.5,NA,35757,95,284,NA,393,NA,1347,74921,79316.8571428571
"450",1997-11-24,78917,223,510,NA,6.89,NA,0.38,NA,388,46,1374,18.1,918.427,1003.1,NA,35758,93,296,NA,386,37,1333,79855.2135,78887.0714285714
"451",1997-11-25,78510,217,509,NA,7.05,NA,0.73,NA,437,47,1407,0.1,946.161,1019.8,NA,35759,82,290,NA,395,37,1333,78515.1835,77955.5714285714
"452",1997-11-26,79744,239,503,NA,6.85,NA,NA,NA,426,48,1240,12.3,902.372,988.4,NA,35760,82,280,NA,403,37,1306,80381.5705,77695.5
"453",1997-11-27,78828,281,562,140,10.46,NA,NA,NA,482,46,1557,17.9,896.085,902.8,NA,35761,96,304,61,409,37,1277,79755.8465,77547.0714285714
"454",1997-11-28,80133,238,531,NA,7.47,NA,1.28,NA,365,46,1237,25.9,877.106,991.2,NA,35762,83,295,NA,368,36,1397,81475.5265,76966.1428571429
"455",1997-11-29,78270,255,527,NA,7.1,NA,NA,NA,450,NA,1344,NA,924.275,1089.3,NA,35763,88,299,NA,410,NA,1369,78270,76653.7857142857
"456",1997-11-30,77259,252,545,NA,7.47,NA,NA,NA,424,NA,1362,NA,973.422,1081,NA,35764,105,328,NA,438,NA,1384,77259,76814.9285714286
"457",1997-12-01,76139,236,540,NA,8.89,NA,NA,0.14,489,47,1610,3.5,899.569,1046.8,NA,35765,106,327,NA,484,36,1426,76320.4225,76615.0714285714
"458",1997-12-02,69213,223,468,NA,12.27,1.1,NA,NA,312,47,3670,6.4,369.641,777.4,NA,35766,83,299,NA,474,36,1494,69544.744,76512.5
"459",1997-12-03,78075,232,495,NA,9.95,2.4,NA,0.7141,470,45,1533,0.1,870.05,1041,NA,35767,95,292,NA,443,35,1713,78080.1835,76441.2142857143
"460",1997-12-04,77127,236,502,189,8.63,0.61,NA,NA,549,44.5,1374,42,870.163,1076.8,NA,35768,111,278,67,419,35,1670,79304.07,76277.9285714286
"461",1997-12-05,72241,NA,NA,NA,NA,0.125,NA,0.6619,NA,44.5,NA,NA,807.975,1051.4,NA,35769,NA,NA,NA,NA,35,NA,72241,76056.4285714286
"462",1997-12-06,73776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,962.384,1103.2,NA,35770,NA,NA,NA,NA,NA,NA,73900.404,75881.8571428571
"463",1997-12-07,77177,302,596,NA,8.2,NA,NA,NA,578,NA,1541,16.8,954.002,1092.5,NA,35771,136,293,NA,437,NA,1398,78047.828,75838.2857142857
"464",1997-12-08,76119,291,573,NA,9.77,NA,NA,NA,546,NA,1562,1.5,926.927,1001.3,NA,35772,127,358,NA,417,NA,1454,76196.7525,76006.8571428571
"465",1997-12-09,77074,230,458,NA,6.42,NA,NA,NA,400,47,1300,NA,950.084,1061.1,NA,35773,103,330,NA,517,37,1494,77074,76581.8571428571
"466",1997-12-10,78746,251,571,NA,8.09,1.9,NA,NA,488,48,1533,0.1,948.518,1090.6,NA,35774,99,311,NA,497,37,1519,78751.1835,76648
"467",1997-12-11,76542,256,531,200,11.66,0.33,NA,NA,466,47.5,2100,NA,896.292,944.7,NA,35775,97,312,38,522,38,1594,76542,76810.0714285714
"468",1997-12-12,77032,198,494,NA,7.35,1.9,1.5569,NA,403,47.5,1502,5.2,908.685,1072.1,NA,35776,NA,NA,NA,470,37.5,1604,77301.542,77362.0714285714
"469",1997-12-13,75826,201,469,NA,7.15,NA,NA,NA,441,NA,1379,0.5,902.737,1114.4,NA,35777,NA,NA,NA,NA,NA,NA,75851.9175,77713.1428571429
"470",1997-12-14,76649,225,493,NA,7.12,NA,NA,NA,454,NA,1401,NA,897.994,1126.5,NA,35778,103,291,NA,426,NA,1443,76649,77539.7142857143
"471",1997-12-15,78499,271,585,NA,9.69,0.36,NA,0.71,493,45,1526,6.9,915.092,1118.5,NA,35779,86,306,NA,429,38,1470,78856.6615,77831.1428571429
"472",1997-12-16,77263,214,546,NA,6.99,1.4,NA,NA,423,48,1334,NA,878.74,1073.7,NA,35780,94,297,NA,492,38,1481,77263,77861.2857142857
"473",1997-12-17,79001,217,511,NA,6.38,1.9,NA,NA,438,47.5,1239,NA,896.785,1160.3,NA,35781,86,295,NA,496,37,1415,79001,78119.6428571429
"474",1997-12-18,79396,215,527,118,6.34,2.8,NA,NA,433,47,1187,11.4,892.318,1102.5,NA,35782,77,270,63,459,37,1322,79986.919,78552.5
"475",1997-12-19,79969,204,499,NA,7.39,1.52,NA,NA,369,47,1243,NA,885.255,1087.4,NA,35783,72,269,NA,430,36.5,1355,79969,78833.2857142857
"476",1997-12-20,78691,214,476,NA,6.92,NA,NA,NA,448,NA,1334,NA,945.566,1152.7,NA,35784,71,287,NA,431,NA,1440,78691,79220.8571428571
"477",1997-12-21,74749,231,509,NA,7.28,NA,NA,NA,483,NA,1386,0.2,889.461,1082,NA,35785,82,299,NA,418,NA,1416,74759.367,79818
"478",1997-12-22,80199,206,487,NA,7.87,0.25,0.99,NA,413,47,1416,NA,876.596,1058.5,NA,35786,69,267,NA,367,37,1473,80199,80241.6428571429
"479",1997-12-23,77496,345,694,NA,12,0.1,0.68,NA,413,47,2160,NA,787.319,784.2,NA,35787,71,274,NA,372,37,1410,77496,80414.6428571429
"480",1997-12-24,82363,296,508,NA,7.61,1.52,NA,NA,438,47,1265,1.7,857.179,960.4,NA,35788,77,264,NA,388,37.5,1240,82451.1195,79924.5714285714
"481",1997-12-25,82602,258,508,NA,7.14,NA,NA,NA,400,NA,1392,9.5,976.55,1018.9,NA,35789,94,298,NA,366,NA,1600,83094.4325,78690.8571428571
"482",1997-12-26,80963,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,0.9,917.246,989.2,NA,35790,NA,NA,NA,460,38,1730,81009.6515,78460.9285714286
"483",1997-12-27,81252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,953.184,1021.9,NA,35791,109,272,NA,396,NA,1708,81277.9175,78636.0714285714
"484",1997-12-28,85009,285,517,NA,7.23,NA,NA,NA,595,NA,2160,20.1,959.06,1016.7,NA,35792,97,269,NA,343,NA,1611,86050.8835,78999.6428571429
"485",1997-12-29,84430,246,472,NA,7.18,NA,NA,NA,570,46,1838,0.3,896.468,1012.2,NA,35793,85,284,NA,457,39,1740,84445.5505,78971.2142857143
"486",1997-12-30,79685,247,469,NA,9.21,2.2,NA,NA,467,46.5,1690,NA,949.771,1053.5,NA,35794,89,298,NA,494,39,1946,79685,79159
"487",1997-12-31,72140,245,526,NA,8.68,0.45,NA,NA,443,46.5,1336,NA,728.695,965.1,NA,35795,102,296,NA,464,39,1871,72140,79070.9285714286
"488",1998-01-01,62124,162,261,146,7.62,NA,NA,NA,794,NA,1680,1.7,NA,1100.1,NA,35796,112,270,130,438,NA,1710,62212.1195,78754.5714285714
"489",1998-01-02,76750,249,465,NA,9.13,NA,NA,NA,333,44.5,1159,0,760.116,1003.8,NA,35797,96,288,NA,476,38,1540,76750,78467.2142857143
"490",1998-01-03,81143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,928.811,1050.9,NA,35798,71,275,NA,439,NA,1190,81454.01,78013.0714285714
"491",1998-01-04,79839,226,503,NA,7.12,NA,NA,NA,452,NA,1309,0,1002.25,1055.8,NA,35799,91,243,NA,366,NA,1370,79839,77410.7142857143
"492",1998-01-05,79801,231,538,NA,7.18,NA,NA,NA,424,48,1352,0,967.082,1124.7,NA,35800,102,291,NA,445,39,1407,79801,77044.6428571429
"493",1998-01-06,80125,224,528,NA,9.63,2.2,2.34,NA,446,47.5,1369,4.2,872.459,1049.7,NA,35801,91,290,NA,459,39,1400,80342.707,76953.2857142857
"494",1998-01-07,81130,232,485,NA,7.38,2.4,1.6099,NA,436,47.5,1193,19.2,925.355,1013.8,NA,35802,98,286,NA,468,38,1319,82125.232,77552.0714285714
"495",1998-01-08,78173,242,484,194,7.42,0.25,NA,NA,533,47,1357,3.8,941.367,1016.3,NA,35803,92,299,71,442,38,1317,78369.973,78790.0714285714
"496",1998-01-09,76940,226,507,NA,7.38,0.31,1.4789,NA,425,47,1305,6.6,897.207,968.9,NA,35804,82,262,NA,430,37,1283,77282.111,79119.5714285714
"497",1998-01-10,74894,249,601,NA,7.72,NA,NA,NA,489,NA,1354,0,943.017,1038.9,NA,35805,84,267,NA,464,NA,1303,74894,78974.5714285714
"498",1998-01-11,76576,258,518,NA,7.49,NA,NA,NA,489,NA,1430,0,890.807,1055.7,NA,35806,95,278,NA,464,NA,1364,76576,78989.2142857143
"499",1998-01-12,79305,218,479,NA,7.4,NA,NA,NA,374,46,1317,14.7,923.328,1083,NA,35807,84,310,NA,387,38,1443,80066.9745,79088.8571428571
"500",1998-01-13,78406,252,506,NA,7.92,NA,NA,NA,348,45,1441,1,907.427,1082.3,NA,35808,84,293,NA,398,37,1453,78457.835,79095.3571428571
"501",1998-01-14,80523,223,487,NA,7.23,NA,NA,NA,495,46,1436,4.6,821.441,1028.3,NA,35809,91,283,NA,380,37.5,1469,80761.441,79230.7857142857
"502",1998-01-15,79456,214,489,45,7.01,2.3,NA,NA,480,46.5,1350,0,917.82,1054.3,NA,35810,82,266,62,357,37.5,1506,79456,79369.7142857143
"503",1998-01-16,81363,230,491,NA,7.31,0.28,NA,1.061,403,47,1550,23.6,957.361,1111.6,NA,35811,75,265,NA,328,37.5,1570,82586.306,79776.2857142857
"504",1998-01-17,79113,237,507,NA,7.32,NA,NA,NA,422,NA,1466,4.7,876.93,1109.9,NA,35812,91,292,NA,365,NA,1448,79356.6245,80369.6428571429
"505",1998-01-18,80044,289,623,NA,7.41,NA,NA,NA,438,NA,2230,4.3,895.884,1176.2,NA,35813,95,282,NA,353,NA,1540,80266.8905,80877.5
"506",1998-01-19,81196,240,454,NA,7.51,0.12,0.78,NA,368,46.5,1494,0,884.354,1213.5,NA,35814,98,305,NA,458,36,1511,81196,81021.7142857143
"507",1998-01-20,80216,228,461,NA,7.34,0.3,0.93,NA,416,47,1467,0,893.032,1088.1,NA,35815,96,302,NA,409,37,1476,80216,81279.5714285714
"508",1998-01-21,83026,240,499,NA,9.31,0.32,NA,NA,417,47,1587,0,843.162,985.9,NA,35816,84,291,NA,400,38,1492,83026,81507.2142857143
"509",1998-01-22,80118,223,489,115,7.48,2.4,NA,NA,464,41,1517,0,877.489,1071.4,NA,35817,91,248,67,367,38,1547,80118,81411
"510",1998-01-23,82632,250,458,NA,7.23,0.18,1.08,NA,397,47.5,1390,8.1,870.115,1036.4,NA,35818,75,254,NA,365,39,1561,83051.8635,81236.6428571429
"511",1998-01-24,83201,225,455,NA,7.2,NA,NA,NA,401,NA,1379,0,900.451,1043.9,NA,35819,86,251,NA,356,NA,1532,83201,81369
"512",1998-01-25,83686,295,498,NA,7.34,NA,NA,NA,429,NA,1364,21.1,924.235,1056.3,NA,35820,96,281,NA,388,NA,1469,84779.7185,81358.5714285714
"513",1998-01-26,81324,254,479,NA,9.38,0.2,NA,0.64,450,47,1521,10,879.738,1017,NA,35821,86,276,NA,403,37.5,1433,81842.35,81330.8571428571
"514",1998-01-27,82016,254,446,NA,8.28,1.9,NA,0.75,510,48,1355,0,909.511,1028.4,NA,35822,89,283,NA,404,39,1464,82016,81351.1428571429
"515",1998-01-28,83710,207,500,NA,6.98,0.17,NA,NA,489,47,1300,0.4,851.867,1070.6,NA,35823,89,314,NA,449,38,1492,83730.734,81343.9285714286
"516",1998-01-29,78109,251,516,74,10.35,0.17,NA,NA,430,47.5,1610,0,951.057,885.9,NA,35824,108,320,65,422,38,1430,78109,81389.3571428571
"517",1998-01-30,78922,251,488,NA,7.51,1.9,NA,0.68,497,47.5,1277,0.1,936.345,1021.5,NA,35825,111,301,NA,448,37,1416,78927.1835,81339.0714285714
